# technique: ADT
# step_index: 1
# timestamp: 2026-03-23T21:06:24.443036
# data_points: 2500
# param_seg_num: 1
# param_sample_interval_ms: 100
# param_elapsed_time: 48.5s
# param_ir_compensation_enabled: False
# param_ir_compensation_ohm: 0
Time/sec,Current/A,cycle
5.359999999999999,3.687,2
5.369999999999999,3.687,2
5.38,3.687,2
5.39,3.687,2
5.3999999999999995,3.687,2
5.409999999999999,3.687,2
5.42,3.687,2
5.43,3.687,2
5.4399999999999995,3.687,2
5.449999999999999,3.687,2
5.46,3.687,2
5.47,3.687,2
5.4799999999999995,3.687,2
5.489999999999999,3.687,2
5.5,3.687,2
5.51,3.687,2
5.52,3.687,2
5.529999999999999,3.687,2
5.539999999999999,3.687,2
5.55,3.687,2
5.56,3.687,2
5.569999999999999,3.687,2
5.58,3.687,2
5.59,3.687,2
5.6,3.687,2
5.609999999999999,3.687,2
5.619999999999999,3.687,2
5.63,3.687,2
5.64,3.687,2
5.6499999999999995,3.687,2
5.659999999999999,3.687,2
5.67,3.687,2
5.68,3.687,2
5.6899999999999995,3.687,2
5.699999999999999,3.687,2
5.709999999999999,3.687,2
5.72,3.687,2
5.7299999999999995,3.687,2
5.739999999999999,3.687,2
5.75,3.687,2
5.76,3.687,2
5.77,3.687,2
5.779999999999999,3.687,2
5.789999999999999,3.687,2
5.8,3.687,2
5.81,3.687,2
5.819999999999999,3.687,2
5.83,3.687,2
5.84,3.687,2
5.85,3.687,2
5.859999999999999,3.687,2
5.869999999999999,3.687,2
5.88,3.687,2
5.89,3.687,2
5.8999999999999995,3.687,2
5.909999999999999,3.687,2
5.92,3.687,2
5.93,3.687,2
5.9399999999999995,3.687,2
5.949999999999999,3.687,2
5.959999999999999,3.687,2
5.97,3.687,2
5.9799999999999995,3.687,2
5.989999999999999,3.687,2
6.0,3.687,2
6.01,3.687,2
6.02,3.687,2
6.029999999999999,3.687,2
6.039999999999999,3.687,2
6.05,3.687,2
6.06,3.687,2
6.069999999999999,3.687,2
6.08,3.687,2
